id	positive	nutral	negative
employee_615	0.43303248286247253	0.2095465064048767	0.35742098093032837
employee_1199	0.7483431100845337	0.1265186220407486	0.1251382678747177
employee_186	0.7063207030296326	0.13544300198554993	0.15823626518249512
employee_640	0.7063207030296326	0.13544300198554993	0.15823626518249512
employee_405	0.9534572958946228	0.028333256021142006	0.018209341913461685
employee_1109	0.9910547137260437	0.00571833923459053	0.0032269186340272427
employee_1150	0.520760715007782	0.16677945852279663	0.31245988607406616
employee_1144	0.7526313662528992	0.12669141590595245	0.12067726999521255
employee_187	0.19507601857185364	0.11218602955341339	0.6927379965782166
employee_1038	0.179098442196846	0.11762769520282745	0.7032738924026489
employee_1151	0.27099844813346863	0.18429431319236755	0.5447072386741638
employee_1162	0.7849404215812683	0.11218954622745514	0.10287012904882431
employee_388	0.831279456615448	0.09598497301340103	0.07273554801940918
employee_572	0.8053858280181885	0.11567198485136032	0.07894217222929001
employee_821	0.7972998023033142	0.11994722485542297	0.08275297284126282
employee_822	0.7989025712013245	0.11107570677995682	0.09002172201871872
employee_1027	0.7989025712013245	0.11107570677995682	0.09002172201871872
employee_256	0.7989025712013245	0.11107570677995682	0.09002172201871872
employee_435	0.7989025712013245	0.11107570677995682	0.09002172201871872
employee_522	0.7989025712013245	0.11107570677995682	0.09002172201871872
employee_1141	0.25021660327911377	0.23213224112987518	0.5176512002944946
employee_800	0.7549049258232117	0.12444400042295456	0.12065108120441437
employee_245	0.15608829259872437	0.07019516080617905	0.7737165689468384
employee_73	0.7669414281845093	0.12628589570522308	0.10677267611026764
employee_50	0.7669414281845093	0.12628589570522308	0.10677267611026764
employee_850	0.7669414281845093	0.12628589570522308	0.10677267611026764
employee_527	0.7669414281845093	0.12628589570522308	0.10677267611026764
employee_682	0.23469330370426178	0.0699164941906929	0.6953901648521423
employee_1212	0.9353668093681335	0.03610363230109215	0.028529563918709755
employee_965	0.7587139010429382	0.1233111321926117	0.11797494441270828
employee_976	0.7587139010429382	0.1233111321926117	0.11797494441270828
employee_326	0.233615905046463	0.2449243664741516	0.5214597582817078
employee_698	0.6948932409286499	0.13904432952404022	0.16606244444847107
employee_730	0.7783422470092773	0.11825372278690338	0.10340403020381927
employee_583	0.6348375678062439	0.1622878611087799	0.2028745710849762
employee_1043	0.7128424048423767	0.13746199011802673	0.14969569444656372
employee_133	0.7128424048423767	0.13746199011802673	0.14969569444656372
employee_701	0.6037812829017639	0.17126454412937164	0.22495417296886444
employee_60	0.932395339012146	0.04384255036711693	0.02376214973628521
employee_1130	0.6335331797599792	0.16468356549739838	0.2017831802368164
employee_469	0.5549944043159485	0.1748458743095398	0.27015966176986694
employee_398	0.6420214772224426	0.16940167546272278	0.1885768175125122
employee_109	0.12828074395656586	0.17313897609710693	0.698580265045166
employee_804	0.36209896206855774	0.14924785494804382	0.48865315318107605
employee_1183	0.3815273940563202	0.2569582462310791	0.3615143299102783
employee_1128	0.9438115358352661	0.032273679971694946	0.023914802819490433
employee_1216	0.6167313456535339	0.12985818088054657	0.2534105181694031
employee_856	0.8465175628662109	0.10350386798381805	0.049978554248809814
employee_843	0.8484947085380554	0.06581159681081772	0.08569363504648209
employee_67	0.5733760595321655	0.19636960327625275	0.23025432229042053
employee_128	0.6589188575744629	0.16991020739078522	0.17117097973823547
employee_520	0.602811872959137	0.16734449565410614	0.2298436015844345
employee_320	0.6753949522972107	0.11536965519189835	0.20923534035682678
employee_980	0.5363469123840332	0.13352659344673157	0.33012649416923523
employee_589	0.607403576374054	0.07566869258880615	0.3169277310371399
employee_951	0.6819508671760559	0.09419119358062744	0.22385798394680023
employee_952	0.21862128376960754	0.14234858751296997	0.6390301585197449
employee_709	0.03839416056871414	0.1396116316318512	0.8219942450523376
employee_1090	0.6310267448425293	0.1588134616613388	0.2101597934961319
employee_798	0.03843531012535095	0.02189854346215725	0.9396660923957825
employee_614	0.7283608317375183	0.08530028909444809	0.18633894622325897
employee_188	0.34227582812309265	0.13013365864753723	0.5275905132293701
employee_1066	0.9410565495491028	0.045155733823776245	0.013787670060992241
employee_182	0.8609261512756348	0.0919666513800621	0.04710713028907776
employee_22	0.26123154163360596	0.26292872428894043	0.47583967447280884
employee_420	0.2601800262928009	0.3119688928127289	0.4278510510921478
employee_975	0.7938071489334106	0.07206234335899353	0.13413050770759583
employee_370	0.27963611483573914	0.11279720813035965	0.6075667142868042
employee_924	0.4604305028915405	0.11860474199056625	0.4209648072719574
employee_761	0.5837002992630005	0.08624499291181564	0.33005470037460327
employee_676	0.6331268548965454	0.18363170325756073	0.18324147164821625
employee_145	0.912790060043335	0.03938262537121773	0.0478273369371891
employee_280	0.33360520005226135	0.14997297525405884	0.5164217948913574
employee_881	0.8809652328491211	0.07668771594762802	0.04234708473086357
employee_890	0.8443479537963867	0.08347881585359573	0.07217319309711456
employee_773	0.9675036668777466	0.02384752780199051	0.008648800663650036
employee_801	0.8752496838569641	0.047152433544397354	0.07759784162044525
employee_661	0.9881787896156311	0.008187794126570225	0.003633396467193961
employee_231	0.956171452999115	0.031675636768341064	0.012152941897511482
employee_795	0.9824262857437134	0.011969605460762978	0.005604161880910397
employee_567	0.9458082318305969	0.037868160754442215	0.016323596239089966
employee_219	0.5032663345336914	0.2452978640794754	0.25143587589263916
employee_1017	0.9711474776268005	0.01566724106669426	0.013185297138988972
employee_613	0.9625704288482666	0.028699077665805817	0.008730408735573292
employee_511	0.7267719507217407	0.24983243644237518	0.023395605385303497
employee_85	0.8285602927207947	0.1307292878627777	0.04071038216352463
employee_1200	0.9770073890686035	0.020072847604751587	0.002919703722000122
employee_835	0.8296918869018555	0.11497319489717484	0.055334895849227905
employee_91	0.73683762550354	0.0957903116941452	0.16737212240695953
employee_1152	0.14531148970127106	0.09857746213674545	0.7561110854148865
employee_1106	0.05236488953232765	0.059306856244802475	0.8883282542228699
employee_793	0.9729292988777161	0.021977083757519722	0.005093580577522516
employee_162	0.9702838063240051	0.023994917050004005	0.005721268244087696
employee_702	0.9021440148353577	0.05119027942419052	0.046665653586387634
employee_385	0.9532161355018616	0.027963945642113686	0.018819909542798996
employee_819	0.85031658411026	0.030768193304538727	0.1189151257276535
employee_826	0.9220219254493713	0.037576913833618164	0.04040120542049408
employee_1000	0.9513413310050964	0.02636690065264702	0.02229183539748192
employee_251	0.6705273389816284	0.11870606243610382	0.21076662838459015
employee_107	0.9865955114364624	0.009781370870769024	0.00362318754196167
employee_321	0.9343443512916565	0.0426752045750618	0.022980408743023872
employee_818	0.9680265188217163	0.021947843953967094	0.01002564001828432
employee_45	0.9682254195213318	0.023084156215190887	0.008690458722412586
employee_508	0.7756067514419556	0.07996585965156555	0.14442740380764008
employee_1105	0.7756067514419556	0.07996585965156555	0.14442740380764008
employee_898	0.7756067514419556	0.07996585965156555	0.14442740380764008
employee_923	0.2877946197986603	0.20825718343257904	0.5039481520652771
employee_1148	0.5417958498001099	0.13924498856067657	0.31895911693573
employee_373	0.8672301769256592	0.050609391182661057	0.08216052502393723
employee_811	0.9074331521987915	0.035776082426309586	0.05679073557257652
employee_680	0.924697995185852	0.03269949555397034	0.04260248318314552
employee_504	0.9741499423980713	0.013252493925392628	0.012597494758665562
employee_384	0.7452089190483093	0.1702423244714737	0.08454879373311996
employee_919	0.8839600682258606	0.0258620735257864	0.09017781168222427
employee_433	0.989719033241272	0.005971997510641813	0.004309029318392277
employee_278	0.888772189617157	0.039957109838724136	0.07127074152231216
employee_383	0.4999706745147705	0.11416406184434891	0.3858652412891388
employee_737	0.846694827079773	0.05231223627924919	0.10099297761917114
employee_28	0.9038724303245544	0.03948448225855827	0.0566430538892746
employee_503	0.49157825112342834	0.10281326621770859	0.4056084156036377
employee_1072	0.8720877766609192	0.04730149731040001	0.08061067759990692
employee_112	0.763320803642273	0.0591539703309536	0.17752516269683838
employee_628	0.6256621479988098	0.14784465730190277	0.22649319469928741
employee_152	0.7484190464019775	0.07301966845989227	0.17856132984161377
employee_430	0.7484190464019775	0.07301966845989227	0.17856132984161377
employee_564	0.6977134943008423	0.11097277700901031	0.1913137286901474
employee_809	0.35917016863822937	0.06383715569972992	0.5769926905632019
employee_401	0.5271876454353333	0.11127973347902298	0.361532598733902
employee_593	0.9829330444335938	0.009677762165665627	0.007389111910015345
employee_815	0.9188135862350464	0.032074667513370514	0.04911177605390549
employee_212	0.9188135862350464	0.032074667513370514	0.04911177605390549
employee_275	0.9188135862350464	0.032074667513370514	0.04911177605390549
employee_114	0.950264573097229	0.033177170902490616	0.01655813679099083
employee_364	0.21687975525856018	0.22791564464569092	0.5552045702934265
employee_608	0.15238197147846222	0.0920451357960701	0.7555728554725647
employee_1064	0.8961946964263916	0.04914730787277222	0.05465800687670708
employee_183	0.720528781414032	0.12409273535013199	0.155378520488739
employee_845	0.9174968600273132	0.06490529328584671	0.0175978671759367
employee_127	0.9730085134506226	0.017143111675977707	0.009848404675722122
employee_445	0.7359541654586792	0.08679448813199997	0.177251398563385
employee_335	0.9192150831222534	0.04393237084150314	0.036852456629276276
employee_664	0.8870373964309692	0.06317953020334244	0.04978315904736519
employee_482	0.05673234537243843	0.10553919523954391	0.8377284407615662
employee_76	0.2528841197490692	0.18230699002742767	0.5648089051246643
employee_386	0.3553549647331238	0.2284868061542511	0.4161582291126251
employee_31	0.3679729104042053	0.4100431203842163	0.22198399901390076
employee_32	0.3679729104042053	0.4100431203842163	0.22198399901390076
employee_1125	0.8514383435249329	0.10172440856695175	0.046837303787469864
employee_902	0.30074626207351685	0.09350699931383133	0.6057466864585876
employee_478	0.9367020726203918	0.039247386157512665	0.024050556123256683
employee_94	0.6673780083656311	0.13283802568912506	0.19978392124176025
employee_448	0.3115808069705963	0.19710275530815125	0.49131643772125244
employee_352	0.5242636203765869	0.1448705941438675	0.3308658301830292
employee_536	0.43772947788238525	0.10239271819591522	0.4598778486251831
employee_769	0.9260565042495728	0.034411486238241196	0.039531927555799484
employee_286	0.4349512755870819	0.20284327864646912	0.362205445766449
employee_849	0.2029949575662613	0.11332722753286362	0.6836778521537781
employee_915	0.42574426531791687	0.15949100255966187	0.41476479172706604
employee_406	0.42876628041267395	0.18163199722766876	0.3896016478538513
employee_941	0.8541408777236938	0.08457688242197037	0.061282187700271606
employee_261	0.8861610889434814	0.039424408227205276	0.07441447675228119
employee_999	0.9805518984794617	0.015669584274291992	0.0037785277236253023
employee_266	0.8105210065841675	0.11372949928045273	0.07574953138828278
employee_1065	0.9300622344017029	0.05466049537062645	0.015277243219316006
employee_1016	0.9819800853729248	0.015534134581685066	0.0024857507087290287
employee_710	0.880682647228241	0.07503583282232285	0.04428153857588768
employee_5	0.9930170774459839	0.004311343189328909	0.002671593800187111
employee_249	0.9605190753936768	0.024610359221696854	0.01487064640969038
employee_241	0.27008432149887085	0.2501372992992401	0.4797784090042114
employee_679	0.37629732489585876	0.116880863904953	0.5068218111991882
employee_707	0.6056016087532043	0.16059242188930511	0.23380602896213531
employee_576	0.6921231150627136	0.15259814262390137	0.1552787572145462
employee_517	0.5721620321273804	0.1105533167719841	0.31728464365005493
employee_1189	0.9114871621131897	0.04739074781537056	0.041122037917375565
employee_552	0.964540958404541	0.022282198071479797	0.013176861219108105
employee_1001	0.8578814268112183	0.10441847145557404	0.037700146436691284
employee_502	0.8351470828056335	0.07683946192264557	0.08801346272230148
employee_421	0.0853528380393982	0.05265221372246742	0.8619949221611023
employee_58	0.8219964504241943	0.09008926153182983	0.08791422843933105
employee_49	0.3437350392341614	0.15892435610294342	0.497340589761734
employee_872	0.9706178903579712	0.019161652773618698	0.010220451280474663
employee_643	0.9706178903579712	0.019161652773618698	0.010220451280474663
employee_171	0.9771535396575928	0.012999861501157284	0.009846623986959457
employee_378	0.9788001775741577	0.01286366768181324	0.00833627674728632
employee_1005	0.9465794563293457	0.02347743883728981	0.029943078756332397
employee_644	0.7461149096488953	0.08261732757091522	0.17126776278018951
employee_648	0.14105398952960968	0.07268383353948593	0.7862621545791626
employee_1008	0.5106316208839417	0.36703673005104065	0.12233167886734009
employee_1173	0.1020725816488266	0.13899046182632446	0.7589370012283325
